Time,Title,Summary,year,month,day,anger,positivity,joy,disgust,surprise,trust,anticipation,sadness,negative,fear
2021-06-08 08:53:00,δεμένα τα πλοία την πέμπτη 10 ιουνίου,δεμένα αναμένεται να παραμείνουν τα πλοία την πέμπτη 10 ιουνίου καθώς τα 13 ναυτεργατικά σωματεία της πανελλήνιας ναυτικής ομοσπονδίας θα πραγματοποιήσουν,2021,Jun,8,0,0,0,0,0,0,0,0,0,0
2021-06-07 15:48:00,έρχεται η ψηφιακή κάρτα εργασίας τι είναι και πώς θα λειτουργεί θα δείχνει το μισθό ανά ώρα,για τηνπορεία υλοποίησης της ψηφιακής κάρτας εργασίας συναντήθηκαν σήμεραο υπουργός εργασίας και κοινωνικών υποθέσεων κωστής χατζηδάκης και ο υπουργός,2021,Jun,7,0,0,0,0,0,0,0,0,2,0
2021-06-06 08:32:00,εργαζόμενος τι είναι οι υπερωρίες η διευθέτηση του χρόνου εργασίας και πώς λειτουργούν,με αφορμή την ψήφιση του εργασιακού νομοσχεδίου έχει γίνει συζήτηση για δύο θεσμούς στην αγορά εργασίας που συνδέονται με το νομοσχέδιο και αφορούν πολλούς,2021,Jun,6,1,1,0,1,0,0,0,0,1,0
2021-06-04 19:59:00,κατατέθηκε στη βουλή το εργασιακο νομοσχέδιο οι αλλαγές της τελευταίας στιγμής,mε αλλαγές της τελευταίας στιγμής ύστερα από δημόσια διαβούλευση περίπου 20 ημερών κατατέθηκε το εργασιακό νομοσχέδιο προς την αρμόδια επιτροπή της βουλής,2021,Jun,4,0,0,0,0,0,1,0,0,0,0
2021-06-04 01:29:00,βορίδης το πλαίσιο ρύθμισης της τηλεργασίας είναι απολύτως φιλικό προς τους εργαζόμενους,η ρύθμιση του πλαισίου της τηλεργασίας στον δημόσιο τομέα θα έπρεπε να μας βρίσκει επί της αρχής όλους σύμφωνους ανέφερε ο υπουργός εσωτερικών μάκης βορίδης,2021,Jun,4,0,1,0,0,0,0,1,0,0,0
2021-05-31 19:03:00,τα ψέματα των εργατοπατερικών κομμάτων κι η αλήθεια του νέου εργασιακού,του κωνσταντίνου μαραβέγιατην περασμένη πέμπτη ολοκληρώθηκε η δημόσια διαβούλευση πάνω στο προσχέδιο νόμου για την προστασία της εργασίας το περίφημο,2021,May,31,0,0,0,0,0,0,1,0,1,0
2021-05-31 15:38:00,γσεε 24ωρη πανελλαδική απεργία την πέμπτη 10 ιουνίου για το εργασιακό,24ωρη πανελλαδική απεργία την πέμπτη 10 ιουνίου προκήρυξε η γσεε εκφράζοντας την έντονη διαμαρτυρία της με διατάξεις του εργασιακού νομοσχεδίουκατά τη,2021,May,31,2,0,0,1,0,0,0,0,2,0
2021-05-31 13:02:00,τσίπρας οι εργαζόμενοι να απαντήσουν με αγώνα στην κυβέρνηση του κ μητσοτάκη,δριμεία επίθεση στην κυβέρνηση του κ μητσοτάκη που έχει αποφασίσει να κηρύξει τον πόλεμο στον κόσμο της εργασίας εξαπέλυσε ο αλέξης τσίπρας από τη χαλκίδα,2021,May,31,1,1,0,2,1,1,1,1,3,2
2021-05-28 15:54:00,υπ εργασίας το νέο εργασιακό νομοσχέδιο στηρίζει την οικογένεια και την εργαζόμενη γυναίκα,με την ηγεσία του υπουργείου εργασίας  κοινωνικών υποθέσεων είχαν την ευκαιρία να συζητήσουν γυναίκες που εργάζονται και επιχειρούν στη χώρα μας σε,2021,May,28,0,1,0,0,1,0,1,0,1,0
2021-05-28 10:43:00,πνο εικοσιτετράωρη απεργία σε όλες τις κατηγορίες πλοίων για την πέμπτη 0306,την πραγματοποίηση 24ωρης πανελλαδικής απεργίας σε όλες τις κατηγορίες πλοίων για την ερχόμενη πέμπτη 0306 και από ώρα 0001 έως τις 2400 της ίδιας μέρας,2021,May,28,1,1,0,0,0,0,0,0,1,1
